time,program
0.006464194999999506,A1
0.32680987200000544,A0
0.3318118270000099,(ite (>= 5 var0) A1 A1)
0.33340962900000903,(ite (>= 5 var0) A1 A0)
0.3351473490000032,(ite (>= 5 var0) A0 A1)
0.33684103099999874,(ite (>= 5 var0) A0 A0)
0.3386686150000031,(ite (>= 5 var2) A1 A1)
0.3404359920000033,(ite (>= 5 var2) A1 A0)
0.3421872270000108,(ite (>= 5 var2) A0 A1)
0.34387957800001345,(ite (>= 5 var2) A0 A0)
0.34568018700001346,(ite (>= 5 -3) A1 A1)
0.34744123600001586,(ite (>= 5 -3) A1 A0)
0.34918821900001973,(ite (>= 5 -3) A0 A1)
0.3508673990000162,(ite (>= 5 -3) A0 A0)
0.3526142330000184,(ite (>= 5 5) A1 A1)
0.3543617990000101,(ite (>= 5 5) A1 A0)
0.3560475090000068,(ite (>= 5 5) A0 A1)
0.3577689160000048,(ite (>= 5 5) A0 A0)
0.3595025230000033,(ite (>= 5 4) A1 A1)
0.3612998170000026,(ite (>= 5 4) A1 A0)
0.3629816560000094,(ite (>= 5 4) A0 A1)
0.36470582400001206,(ite (>= 5 4) A0 A0)
0.36645320600001696,(ite (>= 5 -4) A1 A1)
0.36824430300001865,(ite (>= 5 -4) A1 A0)
0.36999292800002337,(ite (>= 5 -4) A0 A1)
0.3716712290000217,(ite (>= 5 -4) A0 A0)
0.37346663400001745,(ite (>= 5 3) A1 A1)
0.3752005740000186,(ite (>= 5 3) A1 A0)
0.37692993800001773,(ite (>= 5 3) A0 A1)
0.3786065320000134,(ite (>= 5 3) A0 A0)
0.3803843340000199,(ite (>= 5 2) A1 A1)
0.38212292200002196,(ite (>= 5 2) A1 A0)
0.38385905100002304,(ite (>= 5 2) A0 A1)
0.385527740000029,(ite (>= 5 2) A0 A0)
0.38726854500003327,(ite (>= 5 var1) A1 A1)
0.38903643000003285,(ite (>= 5 var1) A1 A0)
0.3907484800000347,(ite (>= 5 var1) A0 A1)
0.39245003000003464,(ite (>= 5 var1) A0 A0)
0.39419035500003474,(ite (>= 5 -5) A1 A1)
0.3959523970000305,(ite (>= 5 -5) A1 A0)
0.3976312630000365,(ite (>= 5 -5) A0 A1)
0.3993312730000298,(ite (>= 5 -5) A0 A0)
0.40106976700003116,(ite (>= 5 1) A1 A1)
0.4028142300000326,(ite (>= 5 1) A1 A0)
0.40452839200003154,(ite (>= 5 1) A0 A1)
0.4062554960000284,(ite (>= 5 1) A0 A0)
0.4080519400000284,(ite (>= 5 0) A1 A1)
0.4097949390000295,(ite (>= 5 0) A1 A0)
0.41149275600002255,(ite (>= 5 0) A0 A1)
0.4131782190000237,(ite (>= 5 0) A0 A0)
0.4149992490000258,(ite (>= 5 var3) A1 A1)
0.4168145330000286,(ite (>= 5 var3) A1 A0)
0.4185655510000288,(ite (>= 5 var3) A0 A1)
0.4202965360000235,(ite (>= 5 var3) A0 A0)
0.42205558300001655,(ite (>= 5 -1) A1 A1)
0.4237987590000145,(ite (>= 5 -1) A1 A0)
0.4255364220000146,(ite (>= 5 -1) A0 A1)
0.4272290920000188,(ite (>= 5 -1) A0 A0)
0.429015731000014,(ite (>= 5 -2) A1 A1)
0.4307553490000089,(ite (>= 5 -2) A1 A0)
0.4324966240000023,(ite (>= 5 -2) A0 A1)
0.43417674299999476,(ite (>= 5 -2) A0 A0)
0.43596397199999615,(ite (>= -3 var0) A1 A1)
0.4377140060000002,(ite (>= -3 var0) A1 A0)
0.439451554999998,(ite (>= -3 var0) A0 A1)
0.4411947109999943,(ite (>= -3 var0) A0 A0)
0.44288356099999504,(ite (>= -3 var2) A1 A1)
0.44468324599998965,(ite (>= -3 var2) A1 A0)
0.4463811639999875,(ite (>= -3 var2) A0 A1)
0.4481601209999866,(ite (>= -3 var2) A0 A0)
0.44983212499998615,(ite (>= -3 -3) A1 A1)
0.45164199399997784,(ite (>= -3 -3) A1 A0)
0.4533274349999772,(ite (>= -3 -3) A0 A1)
0.45505975899997964,(ite (>= -3 -3) A0 A0)
0.45680326099997615,(ite (>= -3 5) A1 A1)
0.45854973699997714,(ite (>= -3 5) A1 A0)
0.46028481699997315,(ite (>= -3 5) A0 A1)
0.4620290639999709,(ite (>= -3 5) A0 A0)
0.46373801699997586,(ite (>= -3 4) A1 A1)
0.4654919459999718,(ite (>= -3 4) A1 A0)
0.4672971149999725,(ite (>= -3 4) A0 A1)
0.46903484999997147,(ite (>= -3 4) A0 A0)
0.4707438389999723,(ite (>= -3 -4) A1 A1)
0.4724953409999699,(ite (>= -3 -4) A1 A0)
0.47417764699997633,(ite (>= -3 -4) A0 A1)
0.47586035399996973,(ite (>= -3 -4) A0 A0)
0.4775984379999727,(ite (>= -3 3) A1 A1)
0.47936649999996916,(ite (>= -3 3) A1 A0)
0.4810473619999698,(ite (>= -3 3) A0 A1)
0.4828022429999592,(ite (>= -3 3) A0 A0)
0.48447669399996585,(ite (>= -3 2) A1 A1)
0.4862481099999698,(ite (>= -3 2) A1 A0)
0.4879386259999663,(ite (>= -3 2) A0 A1)
0.4896954529999604,(ite (>= -3 2) A0 A0)
0.4913857089999638,(ite (>= -3 var1) A1 A1)
0.49313708899996556,(ite (>= -3 var1) A1 A0)
0.49484183899996026,(ite (>= -3 var1) A0 A1)
0.49658809199996057,(ite (>= -3 var1) A0 A0)
0.4983012029999614,(ite (>= -3 -5) A1 A1)
0.5000499339999536,(ite (>= -3 -5) A1 A0)
0.5018739279999593,(ite (>= -3 -5) A0 A1)
0.5036316059999564,(ite (>= -3 -5) A0 A0)
0.5054057189999526,(ite (>= -3 1) A1 A1)
0.5072042919999546,(ite (>= -3 1) A1 A0)
0.5088934919999559,(ite (>= -3 1) A0 A1)
0.5107034009999509,(ite (>= -3 1) A0 A0)
0.5123885509999511,(ite (>= -3 0) A1 A1)
0.5141749319999462,(ite (>= -3 0) A1 A0)
0.5160976799999446,(ite (>= -3 0) A0 A1)
0.5178391949999437,(ite (>= -3 0) A0 A0)
0.5195853399999422,(ite (>= -3 var3) A1 A1)
0.5213587009999472,(ite (>= -3 var3) A1 A0)
0.5231057659999507,(ite (>= -3 var3) A0 A1)
0.5248416599999501,(ite (>= -3 var3) A0 A0)
0.5265933369999516,(ite (>= -3 -1) A1 A1)
0.528349233999954,(ite (>= -3 -1) A1 A0)
0.5300883629999547,(ite (>= -3 -1) A0 A1)
0.5318387509999525,(ite (>= -3 -1) A0 A0)
0.5335681199999556,(ite (>= -3 -2) A1 A1)
0.5353300529999601,(ite (>= -3 -2) A1 A0)
0.537019862999955,(ite (>= -3 -2) A0 A1)
0.5388075769999574,(ite (>= -3 -2) A0 A0)
0.54048975099996,(ite (>= var2 var0) A1 A1)
0.5423150649999613,(ite (>= var2 var0) A1 A0)
0.5440088169999555,(ite (>= var2 var0) A0 A1)
0.547187867999952,(ite (>= var2 var0) A0 A0)
0.5488738789999488,(ite (>= var2 var2) A1 A1)
0.5506585539999449,(ite (>= var2 var2) A1 A0)
0.5523410529999424,(ite (>= var2 var2) A0 A1)
0.5540737219999343,(ite (>= var2 var2) A0 A0)
0.5558335409999344,(ite (>= var2 -3) A1 A1)
0.5576112279999279,(ite (>= var2 -3) A1 A0)
0.5592979859999261,(ite (>= var2 -3) A0 A1)
0.5610302719999254,(ite (>= var2 -3) A0 A0)
0.5627930129999186,(ite (>= var2 5) A1 A1)
0.5645642229999197,(ite (>= var2 5) A1 A0)
0.5663084419999151,(ite (>= var2 5) A0 A1)
0.5680527519999146,(ite (>= var2 5) A0 A0)
0.5697660959999169,(ite (>= var2 4) A1 A1)
0.5715110739999218,(ite (>= var2 4) A1 A0)
0.5732268569999164,(ite (>= var2 4) A0 A1)
0.5749725149999207,(ite (>= var2 4) A0 A0)
0.5766727389999176,(ite (>= var2 -4) A1 A1)
0.5784272029999187,(ite (>= var2 -4) A1 A0)
0.5801429039999206,(ite (>= var2 -4) A0 A1)
0.5818178989999225,(ite (>= var2 -4) A0 A0)
0.5835602069999197,(ite (>= var2 3) A1 A1)
0.5853375639999143,(ite (>= var2 3) A1 A0)
0.5870181609999179,(ite (>= var2 3) A0 A1)
0.58877997999992,(ite (>= var2 3) A0 A0)
0.5906107059999144,(ite (>= var2 2) A1 A1)
0.5923786099999191,(ite (>= var2 2) A1 A0)
0.5941023979999187,(ite (>= var2 2) A0 A1)
0.5958528309999238,(ite (>= var2 2) A0 A0)
0.5976038779999229,(ite (>= var2 var1) A1 A1)
0.5993446539999212,(ite (>= var2 var1) A1 A0)
0.6010775639999224,(ite (>= var2 var1) A0 A1)
0.607244743999928,(ite (>= var2 var1) A0 A0)
0.6090300259999282,(ite (>= var2 -5) A1 A1)
0.6107831399999313,(ite (>= var2 -5) A1 A0)
0.6124706439999272,(ite (>= var2 -5) A0 A1)
0.6142207899999335,(ite (>= var2 -5) A0 A0)
0.6159675509999332,(ite (>= var2 1) A1 A1)
0.6177871809999331,(ite (>= var2 1) A1 A0)
0.6195310419999274,(ite (>= var2 1) A0 A1)
0.6213147879999283,(ite (>= var2 1) A0 A0)
0.6230050829999314,(ite (>= var2 0) A1 A1)
0.6247945439999327,(ite (>= var2 0) A1 A0)
0.626480479999934,(ite (>= var2 0) A0 A1)
0.6303944849999326,(ite (>= var2 0) A0 A0)
0.6321113039999346,(ite (>= var2 var3) A1 A1)
0.6338569049999307,(ite (>= var2 var3) A1 A0)
0.6355527189999322,(ite (>= var2 var3) A0 A1)
0.6372717979999294,(ite (>= var2 var3) A0 A0)
0.6439358979999312,(ite (>= var2 -1) A1 A1)
0.6456911419999329,(ite (>= var2 -1) A1 A0)
0.6473705019999301,(ite (>= var2 -1) A0 A1)
0.6490964079999273,(ite (>= var2 -1) A0 A0)
0.6508477949999332,(ite (>= var2 -2) A1 A1)
0.6526187669999288,(ite (>= var2 -2) A1 A0)
0.6543064469999322,(ite (>= var2 -2) A0 A1)
0.6560265849999212,(ite (>= var2 -2) A0 A0)
0.6577773069999253,(ite (>= var0 var0) A1 A1)
0.6595546719999277,(ite (>= var0 var0) A1 A0)
0.661231737999934,(ite (>= var0 var0) A0 A1)
0.6629140869999333,(ite (>= var0 var0) A0 A0)
0.6646891799999395,(ite (>= var0 var2) A1 A1)
0.6664233299999367,(ite (>= var0 var2) A1 A0)
0.6681377639999369,(ite (>= var0 var2) A0 A1)
0.6698041379999324,(ite (>= var0 var2) A0 A0)
0.6729980939999294,(ite (>= var0 -3) A1 A1)
0.6747488529999401,(ite (>= var0 -3) A1 A0)
0.6765420409999408,(ite (>= var0 -3) A0 A1)
0.6782149039999368,(ite (>= var0 -3) A0 A0)
0.6800251379999338,(ite (>= var0 5) A1 A1)
0.6817750819999446,(ite (>= var0 5) A1 A0)
0.6834863399999449,(ite (>= var0 5) A0 A1)
0.6852252299999506,(ite (>= var0 5) A0 A0)
0.68697666799995,(ite (>= var0 4) A1 A1)
0.688710414999953,(ite (>= var0 4) A1 A0)
0.6904774709999586,(ite (>= var0 4) A0 A1)
0.692291455999964,(ite (>= var0 4) A0 A0)
0.6939730989999617,(ite (>= var0 -4) A1 A1)
0.695779972999965,(ite (>= var0 -4) A1 A0)
0.6974654759999623,(ite (>= var0 -4) A0 A1)
0.6993334479999618,(ite (>= var0 -4) A0 A0)
0.701111412999964,(ite (>= var0 3) A1 A1)
0.7029173449999604,(ite (>= var0 3) A1 A0)
0.7046194249999544,(ite (>= var0 3) A0 A1)
0.7063569139999544,(ite (>= var0 3) A0 A0)
0.708129166999953,(ite (>= var0 2) A1 A1)
0.7098785049999563,(ite (>= var0 2) A1 A0)
0.7116085579999591,(ite (>= var0 2) A0 A1)
0.7133514829999612,(ite (>= var0 2) A0 A0)
0.7150875499999572,(ite (>= var0 var1) A1 A1)
0.7168268889999538,(ite (>= var0 var1) A1 A0)
0.7185665819999585,(ite (>= var0 var1) A0 A1)
0.7214550109999536,(ite (>= var0 var1) A0 A0)
0.723248330999958,(ite (>= var0 -5) A1 A1)
0.7249958329999515,(ite (>= var0 -5) A1 A0)
0.7267971949999463,(ite (>= var0 -5) A0 A1)
0.7284728989999394,(ite (>= var0 -5) A0 A0)
0.730278292999941,(ite (>= var0 1) A1 A1)
0.7320349759999374,(ite (>= var0 1) A1 A0)
0.7337155309999375,(ite (>= var0 1) A0 A1)
0.7354967529999428,(ite (>= var0 1) A0 A0)
0.7371739299999405,(ite (>= var0 0) A1 A1)
0.7389831379999379,(ite (>= var0 0) A1 A0)
0.7406682679999363,(ite (>= var0 0) A0 A1)
0.7423960309999345,(ite (>= var0 0) A0 A0)
0.745537909999932,(ite (>= var0 var3) A1 A1)
0.747290428999932,(ite (>= var0 var3) A1 A0)
0.7489727409999318,(ite (>= var0 var3) A0 A1)
0.7507225479999349,(ite (>= var0 var3) A0 A0)
0.7634435869999336,(ite (>= var0 -1) A1 A1)
0.7658194539999386,(ite (>= var0 -1) A1 A0)
0.7675276629999388,(ite (>= var0 -1) A0 A1)
0.7692767809999381,(ite (>= var0 -1) A0 A0)
0.7710307169999382,(ite (>= var0 -2) A1 A1)
0.7727885239999353,(ite (>= var0 -2) A1 A0)
0.7745249969999293,(ite (>= var0 -2) A0 A1)
0.7762060519999281,(ite (>= var0 -2) A0 A0)
0.7780114799999254,(ite (>= 4 var0) A1 A1)
0.7797644159999209,(ite (>= 4 var0) A1 A0)
0.7816006619999172,(ite (>= 4 var0) A0 A1)
0.7835547649999128,(ite (>= 4 var0) A0 A0)
0.7853514439999145,(ite (>= 4 var2) A1 A1)
0.7870954699999189,(ite (>= 4 var2) A1 A0)
0.7889174909999213,(ite (>= 4 var2) A0 A1)
0.7906105149999192,(ite (>= 4 var2) A0 A0)
0.7925503569999179,(ite (>= 4 -3) A1 A1)
0.7943690709999203,(ite (>= 4 -3) A1 A0)
